event_a_id,event_a_channel,event_a_text,event_a_urls,event_a_campaign,event_b_id,event_b_channel,event_b_text,event_b_urls,event_b_campaign,label_same_campaign,campaign_pair_group
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_001_S,sms,SBI ALERT: Aapka SBI account block ho gaya hai. Verify PAN/Aadhaar immediately: http://short.example/sbi-01,"[""http://short.example/sbi-01""]",CAMP_001_SBI_KYC,1,CAMP_001_SBI_KYC_CAMP_001_SBI_KYC
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_001_W,whatsapp,"प्रिय ग्राहक, आपका एसबीआई बैंक खाता आज रात निलंबित कर दिया जाएगा। पैन कार्ड अपडेट करें: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,1,CAMP_001_SBI_KYC_CAMP_001_SBI_KYC
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_002_E,email,கடைசி எச்சரிக்கை: உங்கள் மின் கட்டணம் நிலுவையில் உள்ளது. இன்றிரவு 9:30 மணிக்கு மின் இணைப்பு துண்டிக்கப்படும். செலுத்த: http://tneb-bill-update-quick.invalid/pay,"[""http://tneb-bill-update-quick.invalid/pay""]",CAMP_002_TNEB_POWER,0,CAMP_001_SBI_KYC_CAMP_002_TNEB_POWER
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_002_S,sms,TNEB ALERT: Ungal power connection inru iravu cut aagum. Bill pay panna link: http://tiny.example/tneb-cut,"[""http://tiny.example/tneb-cut""]",CAMP_002_TNEB_POWER,0,CAMP_001_SBI_KYC_CAMP_002_TNEB_POWER
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_002_W,whatsapp,"Dear Consumer, your electricity bill is overdue. Electricity officer contact: +918765432109. Pay immediately to avoid power disconnection: http://tneb-bill-update-quick.invalid/pay","[""http://tneb-bill-update-quick.invalid/pay""]",CAMP_002_TNEB_POWER,0,CAMP_001_SBI_KYC_CAMP_002_TNEB_POWER
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_003_E,email,Security notice: Your Multi-Factor Authentication token has expired. Scan the QR code or click to re-authenticate: https://login-microsoft-secure-auth.invalid/auth/mfa,"[""https://login-microsoft-secure-auth.invalid/auth/mfa""]",CAMP_003_M365_MFA,0,CAMP_001_SBI_KYC_CAMP_003_M365_MFA
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_003_S,sms,Microsoft Security Alert: Unusual login attempt detected. Confirm your identity immediately: https://login-microsoft-secure-auth.invalid/auth/mfa,"[""https://login-microsoft-secure-auth.invalid/auth/mfa""]",CAMP_003_M365_MFA,0,CAMP_001_SBI_KYC_CAMP_003_M365_MFA
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_004_E,email,"Dear Customer, you have 9,850 unclaimed reward points worth Rs. 9,850 expiring tonight. Click to credit directly to your account: http://hdfc-points-redeem-online.invalid/redeem","[""http://hdfc-points-redeem-online.invalid/redeem""]",CAMP_004_HDFC_REWARDS,0,CAMP_001_SBI_KYC_CAMP_004_HDFC_REWARDS
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_004_S,sms,HDFC Bank: Aapke 9850 reward points aaj expire ho rahe hain. Redeem karne ke liye link open karein: http://bit.example/hdfc-pts,"[""http://bit.example/hdfc-pts""]",CAMP_004_HDFC_REWARDS,0,CAMP_001_SBI_KYC_CAMP_004_HDFC_REWARDS
EVT_001_E,email,"Dear Customer, your State Bank of India account requires mandatory KYC verification by midnight. Complete verification here: http://sbi-kyc-verify-auth.invalid/login","[""http://sbi-kyc-verify-auth.invalid/login""]",CAMP_001_SBI_KYC,EVT_004_W,whatsapp,"HDFC Rewards Desk: Aapka Rs. 9,850 cashback claim pending hai. Claim link: http://hdfc-points-redeem-online.invalid/redeem","[""http://hdfc-points-redeem-online.invalid/redeem""]",CAMP_004_HDFC_REWARDS,0,CAMP_001_SBI_KYC_CAMP_004_HDFC_REWARDS
